ERBu_BAK_SB>MYBu_BAK_SB@BAK,Bakerloo,SB,15,774,ERBu,Edgware Road (Bak),641,MYBu,Marylebone LU,322,15,63,96,63,49,36,0,0,0,3,1,3,4,4,5,5,5,5,6,5,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,5,5,6,5,5,5,5,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MYBu_BAK_SB>BSTu_BAK_SB@BAK,Bakerloo,SB,16,641,MYBu,Marylebone LU,511,BSTu,Baker Street,322,15,63,96,62,50,36,0,0,0,3,1,2,5,4,4,5,6,5,5,6,5,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5,6,5,5,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSTu_BAK_SB>RPKu_BAK_SB@BAK,Bakerloo,SB,17,511,BSTu,Baker Street,685,RPKu,Regent's Park,322,14,63,96,63,49,37,0,0,0,1,3,2,4,4,5,5,5,5,6,5,6,5,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,5,5,5,6,5,5,5,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RPKu_BAK_SB>OXCu_BAK_SB@BAK,Bakerloo,SB,18,685,RPKu,Regent's Park,669,OXCu,Oxford Circus,322,14,63,96,62,50,37,0,0,0,1,3,2,4,4,4,5,6,5,5,6,5,6,5,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,5,6,5,5,5,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OXCu_BAK_SB>PICu_BAK_SB@BAK,Bakerloo,SB,19,669,OXCu,Oxford Circus,674,PICu,Piccadilly Circus,322,13,63,96,62,50,38,0,0,0,1,2,2,4,4,4,5,6,5,5,6,5,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,5,6,5,5,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PICu_BAK_SB>CHXu_BAK_SB@BAK,Bakerloo,SB,20,674,PICu,Piccadilly Circus,718,CHXu,Charing Cross LU,322,13,62,97,61,51,38,0,0,0,1,2,2,4,4,3,5,6,5,6,5,5,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,5,5,6,5,5,5,5,6,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHXu_BAK_SB>EMBu_BAK_SB@BAK,Bakerloo,SB,21,718,CHXu,Charing Cross LU,542,EMBu,Embankment,322,12,63,96,62,50,39,0,0,0,1,2,2,4,3,4,5,5,6,5,5,6,5,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,5,5,6,5,5,5,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EMBu_BAK_SB>WLOu_BAK_SB@BAK,Bakerloo,SB,22,542,EMBu,Embankment,747,WLOu,Waterloo LU,322,12,62,97,62,50,39,0,0,0,1,2,2,2,5,4,5,5,5,6,5,6,5,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,5,5,6,5,5,5,5,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WLOu_BAK_SB>LAMu_BAK_SB@BAK,Bakerloo,SB,23,747,WLOu,Waterloo LU,628,LAMu,Lambeth North,315,11,63,96,61,50,34,0,0,0,0,3,1,3,4,4,5,5,6,5,5,6,5,6,6,5,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5,6,5,5,5,6,5,5,5,5,3,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMu_BAK_SB>ELEu_BAK_SB@BAK,Bakerloo,SB,24,628,LAMu,Lambeth North,570,ELEu,Elephant & Castle LU,315,11,62,96,61,50,35,0,0,0,0,3,1,3,4,4,4,6,5,5,6,5,6,5,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,5,5,6,5,5,5,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WRPu_CEN_EB>RUGu_CEN_EB@CEN,Central,EB,1,762,WRPu,West Ruislip,692,RUGu,Ruislip Gardens,153,10,24,54,25,27,13,0,1,1,2,2,1,2,1,3,3,2,1,2,1,2,2,1,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,1,3,2,2,3,1,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RUGu_CEN_EB>SRPu_CEN_EB@CEN,Central,EB,2,692,RUGu,Ruislip Gardens,710,SRPu,South Ruislip,166,16,26,54,30,26,14,0,1,1,2,3,3,3,3,3,3,3,2,2,1,1,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,3,2,3,3,3,3,3,2,3,2,2,1,3,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SRPu_CEN_EB>NHTu_CEN_EB@CEN,Central,EB,3,710,SRPu,South Ruislip,657,NHTu,Northolt,166,15,26,55,29,27,14,0,1,1,2,3,3,2,3,3,4,3,2,1,2,1,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,3,2,4,3,2,3,3,3,2,2,1,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NHTu_CEN_EB>GFDu_CEN_EB@CEN,Central,EB,4,657,NHTu,Northolt,589,GFDu,Greenford,198,15,32,72,38,27,14,0,0,2,2,3,2,3,3,3,3,3,3,3,3,1,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,3,4,4,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GFDu_CEN_EB>PERu_CEN_EB@CEN,Central,EB,5,589,GFDu,Greenford,673,PERu,Perivale,198,14,33,71,39,27,14,0,0,1,3,2,3,3,2,3,4,3,3,3,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,3,4,3,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PERu_CEN_EB>HLNu_CEN_EB@CEN,Central,EB,6,673,PERu,Perivale,595,HLNu,Hanger Lane,198,14,32,72,39,26,15,0,0,1,3,2,3,2,3,3,3,3,4,2,2,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,3,4,3,2,2,3,1,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HLNu_CEN_EB>NACu_CEN_EB@CEN,Central,EB,7,595,HLNu,Hanger Lane,653,NACu,North Acton,198,13,33,71,39,27,15,0,0,1,2,2,3,3,2,4,3,3,3,2,3,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,4,3,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EBYu_CEN_EB>WACu_CEN_EB@CEN,Central,EB,8,560,EBYu,Ealing Broadway,753,WACu,West Acton,186,11,29,53,30,28,35,0,1,1,1,2,1,3,2,3,2,2,2,3,3,2,2,2,3,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,3,3,2,3,2,3,2,2,3,3,2,2,3,2,2,2,3,2,2,2,3,2,2,1,3,2,2,1,2,2,2,1,2,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,
WACu_CEN_EB>NACu_CEN_EB@CEN,Central,EB,9,753,WACu,West Acton,653,NACu,North Acton,184,11,28,54,30,27,34,0,0,2,1,1,2,2,3,2,3,2,2,2,3,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,3,2,2,3,3,3,1,4,2,2,3,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,1,2,2,2,1,2,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,
NACu_CEN_EB>EACu_CEN_EB@CEN,Central,EB,10,653,NACu,North Acton,563,EACu,East Acton,413,24,69,127,76,63,54,0,0,2,4,3,5,5,5,6,5,6,4,7,6,6,6,5,5,7,6,5,5,6,5,5,5,6,5,5,5,6,5,5,5,6,5,5,5,6,5,5,5,6,6,5,7,7,7,6,7,6,7,6,6,6,6,5,6,5,5,5,5,6,5,5,5,6,5,5,5,5,5,5,3,3,3,4,1,2,1,2,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,
EACu_CEN_EB>WCTu_CEN_EB@CEN,Central,EB,11,563,EACu,East Acton,764,WCTu,White City,413,23,69,127,76,63,55,0,0,2,3,4,4,5,5,6,5,6,5,6,7,6,5,6,4,7,6,5,6,5,5,5,6,5,5,5,6,5,5,5,6,5,5,5,6,5,5,5,6,5,6,6,6,7,7,6,7,6,7,6,7,5,6,5,6,5,5,5,6,5,5,5,6,5,5,5,6,5,5,4,4,3,3,3,2,2,1,2,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,
WCTu_CEN_EB>SBCu_CEN_EB@CEN,Central,EB,12,764,WCTu,White City,700,SBCu,Shepherd's Bush LU,476,24,80,145,87,73,67,0,0,2,3,5,4,5,5,6,7,6,7,7,7,7,7,6,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,7,8,7,8,7,8,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,3,3,2,2,1,2,1,2,1,2,1,2,1,2,0,2,1,2,1,2,1,2,
SBCu_CEN_EB>HPKu_CEN_EB@CEN,Central,EB,13,700,SBCu,Shepherd's Bush LU,608,HPKu,Holland Park,474,23,80,145,87,73,66,0,0,2,3,4,5,4,5,6,6,7,7,6,7,8,6,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,7,8,7,8,7,8,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,3,2,2,1,2,1,2,1,2,1,2,1,1,0,2,1,2,1,2,1,1,
HPKu_CEN_EB>NHGu_CEN_EB@CEN,Central,EB,14,608,HPKu,Holland Park,663,NHGu,Notting Hill Gate,474,23,79,145,87,73,67,0,0,2,2,4,5,5,5,6,6,6,7,7,7,7,7,6,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,7,8,7,8,7,8,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,3,3,3,1,2,1,2,1,2,1,2,1,2,1,0,1,2,1,2,1,2,1,
NHGu_CEN_EB>QWYu_CEN_EB@CEN,Central,EB,15,663,NHGu,Notting Hill Gate,681,QWYu,Queensway,474,22,79,146,87,72,68,0,0,1,3,4,5,4,5,6,6,7,6,7,7,7,7,7,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,8,7,8,7,8,7,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,3,3,3,1,2,1,2,1,2,1,2,1,2,1,0,1,2,1,2,1,2,1,
QWYu_CEN_EB>LANu_CEN_EB@CEN,Central,EB,16,681,QWYu,Queensway,629,LANu,Lancaster Gate,474,22,79,145,87,73,68,0,0,1,3,4,4,5,5,5,6,7,7,6,7,8,7,6,7,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,8,7,8,7,8,7,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,3,3,1,2,1,2,1,2,1,2,1,2,1,0,1,2,1,2,1,2,1,
LANu_CEN_EB>MARu_CEN_EB@CEN,Central,EB,17,629,LANu,Lancaster Gate,640,MARu,Marble Arch,474,21,79,145,87,73,69,0,0,1,2,4,5,4,5,6,6,6,7,7,6,8,7,6,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,8,7,8,7,8,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,3,3,3,2,2,1,2,1,2,1,2,1,2,1,0,1,2,1,2,1,2,1,
MARu_CEN_EB>BDSu_CEN_EB@CEN,Central,EB,18,640,MARu,Marble Arch,524,BDSu,Bond Street,474,20,79,145,87,73,70,0,0,0,3,3,5,4,5,6,6,6,7,7,6,8,7,6,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,8,7,8,7,8,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,3,3,2,1,2,1,2,1,2,1,2,1,2,0,1,1,2,1,2,1,2,
BDSu_CEN_EB>OXCu_CEN_EB@CEN,Central,EB,19,524,BDSu,Bond Street,669,OXCu,Oxford Circus,474,20,78,146,87,73,70,0,0,0,3,3,4,5,5,5,6,7,6,7,7,7,7,7,6,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,7,8,7,8,7,8,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,3,3,2,1,2,1,2,1,2,1,2,1,2,0,1,1,2,1,2,1,2,
OXCu_CEN_EB>TCRu_CEN_EB@CEN,Central,EB,20,669,OXCu,Oxford Circus,728,TCRu,Tottenham Court Road,472,19,79,145,87,73,69,0,0,0,2,4,4,5,4,6,6,6,7,6,7,7,8,6,7,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,8,7,8,7,8,7,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,3,3,2,2,2,1,2,1,2,1,2,1,1,0,1,1,2,1,2,1,1,
TCRu_CEN_EB>HOLu_CEN_EB@CEN,Central,EB,21,728,TCRu,Tottenham Court Road,607,HOLu,Holborn,472,19,78,145,87,73,70,0,0,0,2,3,5,4,5,5,6,6,7,7,6,7,8,6,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,8,7,8,7,8,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,3,3,2,2,1,2,1,2,1,2,1,2,1,0,0,2,1,2,1,2,1,
HOLu_CEN_EB>CYLu_CEN_EB@CEN,Central,EB,22,607,HOLu,Holborn,541,CYLu,Chancery Lane,472,18,78,146,86,74,70,0,0,0,2,3,4,5,4,5,6,6,7,7,6,7,8,6,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,7,8,7,8,7,8,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,3,2,2,1,2,1,2,1,2,1,2,1,0,0,2,1,2,1,2,1,
CYLu_CEN_EB>STPu_CEN_EB@CEN,Central,EB,23,541,CYLu,Chancery Lane,697,STPu,St. Paul's,472,18,78,145,87,73,71,0,0,0,2,2,5,4,5,5,6,6,6,7,7,7,7,7,6,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,8,7,8,7,8,7,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,3,3,3,2,1,2,1,2,1,2,1,2,1,0,0,2,1,2,1,2,1,
STPu_CEN_EB>BNKu_CEN_EB@CEN,Central,EB,24,697,STPu,St. Paul's,513,BNKu,Bank and Monument,472,17,78,145,87,73,72,0,0,0,1,3,4,5,4,5,6,6,7,6,7,7,7,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,8,7,8,7,8,7,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,3,3,3,1,2,1,2,1,2,1,2,1,2,0,0,1,2,1,2,1,2,
BNKu_CEN_EB>LSTu_CEN_EB@CEN,Central,EB,25,513,BNKu,Bank and Monument,634,LSTu,Liverpool Street LU,470,17,77,146,86,74,70,0,0,0,1,3,4,4,5,5,5,6,7,6,7,7,7,7,7,6,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,7,8,7,8,7,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,3,3,1,2,1,2,1,2,1,2,1,1,0,0,1,2,1,2,1,1,
LSTu_CEN_EB>BNGu_CEN_EB@CEN,Central,EB,26,634,LSTu,Liverpool Street LU,520,BNGu,Bethnal Green LU,470,16,77,146,86,74,71,0,0,0,1,2,4,4,5,5,5,6,7,6,7,7,7,7,7,6,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,7,8,7,8,7,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,3,3,3,2,1,2,1,2,1,2,1,2,1,0,0,1,1,2,1,2,1,
BNGu_CEN_EB>MLEu_CEN_EB@CEN,Central,EB,27,520,BNGu,Bethnal Green LU,642,MLEu,Mile End,470,15,77,146,86,74,72,0,0,0,0,3,3,4,5,5,5,6,6,7,7,6,8,7,6,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,7,8,7,8,7,8,6,7,7,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,4,3,3,2,1,2,1,2,1,2,1,2,1,0,0,1,1,2,1,2,1,
MLEu_CEN_EB>SFDu_CEN_EB@CEN,Central,EB,28,642,MLEu,Mile End,719,SFDu,Stratford,470,14,77,146,86,74,73,0,0,0,0,2,3,5,4,5,5,6,6,7,7,6,7,8,6,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,8,7,8,8,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,3,3,2,2,1,2,1,2,1,2,1,2,0,0,0,2,1,2,1,2,
SFDu_CEN_EB>LEYu_CEN_EB@CEN,Central,EB,29,719,SFDu,Stratford,632,LEYu,Leyton,468,13,76,146,86,74,73,0,0,0,0,2,3,4,4,5,5,6,6,7,6,7,7,7,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,8,7,7,8,7,8,8,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,3,3,3,2,1,2,1,2,1,2,1,1,0,0,0,2,1,2,1,1,
LEYu_CEN_EB>LYSu_CEN_EB@CEN,Central,EB,30,632,LEYu,Leyton,633,LYSu,Leytonstone,468,12,76,146,85,75,74,0,0,0,0,1,3,4,4,5,5,6,6,6,7,7,6,8,7,6,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,8,7,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,3,3,1,2,1,2,1,2,1,2,1,0,0,0,1,2,1,2,1,
LYSu_CEN_EB>SNBu_CEN_EB@CEN,Central,EB,31,633,LYSu,Leytonstone,703,SNBu,Snaresbrook,235,11,37,72,43,37,35,0,0,1,1,3,1,2,3,3,3,3,3,3,3,3,4,3,4,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,1,2,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,
SNBu_CEN_EB>SWFu_CEN_EB@CEN,Central,EB,32,703,SNBu,Snaresbrook,712,SWFu,South Woodford,235,11,36,73,42,38,35,0,0,1,1,2,2,2,3,3,3,2,3,3,4,3,3,4,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,1,2,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,
SWFu_CEN_EB>WFDu_CEN_EB@CEN,Central,EB,33,712,SWFu,South Woodford,769,WFDu,Woodford,233,10,37,72,43,37,34,0,0,1,1,1,3,2,2,4,3,2,3,3,3,3,4,3,4,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,2,1,2,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,
WFDu_CEN_EB>BHLu_CEN_EB@CEN,Central,EB,34,769,WFDu,Woodford,531,BHLu,Buckhurst Hill,236,14,36,73,41,38,34,0,1,2,2,2,2,2,3,3,3,3,2,3,3,4,3,4,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,
BHLu_CEN_EB>LTNu_CEN_EB@CEN,Central,EB,35,531,BHLu,Buckhurst Hill,636,LTNu,Loughton,236,14,36,72,41,38,35,0,1,1,3,2,2,2,3,2,3,3,3,3,3,3,4,3,4,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,
LTNu_CEN_EB>DEBu_CEN_EB@CEN,Central,EB,36,636,LTNu,Loughton,557,DEBu,Debden,167,19,21,52,23,27,25,1,3,2,3,2,3,2,3,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,3,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
DEBu_CEN_EB>THBu_CEN_EB@CEN,Central,EB,37,557,DEBu,Debden,725,THBu,Theydon Bois,167,18,22,51,24,26,26,1,3,2,2,3,3,2,2,2,2,2,3,1,2,1,2,2,2,2,1,2,1,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,1,2,1,2,2,1,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
THBu_CEN_EB>EPPu_CEN_EB@CEN,Central,EB,38,725,THBu,Theydon Bois,572,EPPu,Epping,166,19,22,51,23,27,24,1,3,2,3,2,3,3,2,2,2,2,2,2,1,2,2,1,3,2,1,1,2,1,2,3,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,1,2,2,1,2,1,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LYSu_CEN_EB>WANu_CEN_EB@CEN,Central,EB,39,633,LYSu,Leytonstone,743,WANu,Wanstead,237,4,39,74,42,38,40,0,0,0,0,0,1,2,1,2,2,3,3,3,4,3,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,
WANu_CEN_EB>REDu_CEN_EB@CEN,Central,EB,40,743,WANu,Wanstead,684,REDu,Redbridge,237,4,39,73,43,37,41,0,0,0,0,0,1,1,2,1,2,4,3,3,3,3,4,3,5,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,4,2,2,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,
REDu_CEN_EB>GHLu_CEN_EB@CEN,Central,EB,41,684,REDu,Redbridge,582,GHLu,Gants Hill,237,4,38,74,42,38,41,0,0,0,0,0,1,1,2,1,2,3,3,3,4,3,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,1,2,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,
